Station,T1 (K),T2 (K),R1,R2,R3,Iterations
399,521.6025875129083,521.3757226570627,43.14104248062954,95.45637630928542,102072.70295948249,2.0
398,520.1238220129732,519.8979792025336,42.810509937217034,95.91097402259057,102394.95952622894,2.0
397,518.6575542394572,518.4327280221096,42.44459965420177,96.27799437517676,102623.7045893251,2.0
396,517.2100911228829,516.9862715087072,42.111542482932016,96.72024339781692,102933.3670048142,2.0
395,515.7675186453479,515.5447053510379,41.76196066973934,97.1194152395386,103196.32674283249,2.0
394,514.3500107031865,514.128189180424,41.42582511118532,97.54772840934713,103491.69678333469,2.0
393,512.9384169382059,512.7175860423224,41.09269320090466,97.98054519586813,103791.10412854965,2.0
392,511.5292710973772,511.30943211749917,40.75308493482052,98.39547747962493,104070.46214986706,2.0
391,510.1451784211238,509.92631654701063,40.43655563574314,98.86463855278741,104408.59881057839,2.0
390,508.75993423059214,508.54205323123153,40.092838862531764,99.26276996208674,104670.20388901427,2.0
389,507.3938597285207,507.1769488042451,39.790757121189806,99.76575030689757,105043.13699433858,2.0
388,506.055959733386,505.8400015625294,39.446926253262426,100.15510762840914,105298.28834733693,2.0
387,504.7124285744001,504.4974299459338,39.14809906778789,100.66428510504723,105677.36921422505,2.0
386,503.3452345419391,503.13121537908086,38.82183219511826,101.09968916333592,105974.77289055177,2.0
385,502.0275132206715,501.8144405851577,38.517487795955546,101.59002180526063,106334.0979333492,2.0
384,500.71884917981174,500.50671921996184,38.20818004310461,102.06431672939915,106676.23581316211,2.0
383,499.4266572484685,499.21546065198083,37.89780892536402,102.53390156086743,107013.97494261891,2.0
382,498.14305425893696,497.9327873755781,37.605768387673066,103.05342794154,107403.38372697226,2.0
381,496.86195712465934,496.6526207429037,37.28909194625599,103.50198043621731,107717.68683786396,2.0
380,495.5696398903776,495.3612448395383,37.01153783422384,104.06472798560704,108147.99061847504,2.0
379,494.31991502070304,494.1124326052378,36.694131813813115,104.50595662632539,108455.65071222692,2.0
378,493.0621240174709,492.8555626610109,36.41826036449733,105.0725127712671,108890.94081819648,2.0
377,491.82749187135653,491.6218369766648,36.11862529909729,105.5643656305483,109250.09922976277,2.0
376,490.60894437771265,490.40418642784107,35.834952966525805,106.1044365106102,109659.65894691464,2.0
375,489.3580279051997,489.15419343320036,35.553354787218,106.65357883120448,110073.07246039312,2.0
374,488.1568261855288,487.9538805789503,35.26175612020347,107.16771275234736,110454.97358679575,2.0
373,486.95002086775895,486.7479706570227,34.997695100282684,107.76998110013864,110925.4656791198,2.0
372,485.76409166211397,485.5629235645205,34.69787072934323,108.2563504700515,111277.75839906218,2.0
371,484.5575362285539,484.35726805042634,34.44110526886333,108.88672971373173,111773.95563590678,2.0
370,483.3891260148618,483.18973136037755,34.153609330648166,109.41239237720093,112165.86980142824,2.0
369,482.21375872454075,482.01524508616984,33.89051216819152,110.02258772041506,112642.02651979943,2.0
368,481.03520406685703,480.8375761659357,33.62134233103218,110.61311109447406,113096.00520775777,2.0
367,479.88982915967165,479.6930640251225,33.34882098546045,111.19129115466302,113540.03438494694,2.0
366,478.74315003694005,478.5472508323988,33.09753880323639,111.84477755261317,114059.16236205377,2.0
365,477.5827586386803,477.3877380842358,32.815757045046226,112.39444203353406,114469.03858012258,2.0
364,476.4527889367365,476.2586258886623,32.572928760027644,113.08328949945405,115022.98086624869,2.0
363,475.3147390298667,475.1214418851566,32.30008924826575,113.6659792061894,115466.22357358888,2.0
362,474.19979714653323,474.0073502174732,32.051587900322005,114.33950060591147,116003.13735572918,2.0
361,473.09639187534793,472.9047883445192,31.79685921255479,114.99064596829807,116517.17586635366,2.0
360,471.970615247461,471.7798745269116,31.538107610201973,115.63262490763425,117017.28939758406,2.0
359,470.8849894121613,470.6950824053784,31.301514178581733,116.35809924397135,117605.51692314724,2.0
358,469.7646402622781,469.57559607939845,31.032250933321148,116.96419962170637,118066.72874559849,2.0
357,468.68560681532006,468.4973952461299,30.801751211744353,117.72341643412308,118686.35217441528,2.0
356,467.59422769088303,467.40686043443986,30.545283761313065,118.38353992793903,119202.6139933294,2.0
355,466.5236218528021,466.33708459591503,30.306228325782612,119.11727246504056,119794.09537460183,2.0
354,465.43804505806503,465.2523515692399,30.068197406398234,119.86023167540559,120390.95641342273,2.0
353,464.3864206625675,464.20154615803193,29.817644613430836,120.5534615094216,120940.79529591922,2.0
352,463.3049766138142,463.1209465800648,29.595382787417023,121.37360850681493,121611.93926143617,2.0
351,462.2595139078432,462.07630184252065,29.338278598638293,122.04663545978983,122138.88201393734,2.0
350,461.19899835100955,461.01661806525567,29.116284951300027,122.88072067983636,122823.04761061913,2.0
349,460.1609536991211,459.97938924903787,28.8776762287755,123.64391134410322,123437.60475347258,2.0
348,459.11117922544963,458.93044184255865,28.643546809428308,124.4359138725725,124077.37444748112,2.0
347,458.053818606582,457.87391628538984,28.423411884147836,125.29769984985172,124783.62276141031,2.0
346,457.0367752205091,456.85767753188674,28.17697916848818,126.04199289684402,125376.76897935933,2.0
345,455.9965147793995,455.8182421779091,27.964245198146134,126.95413529787824,126131.52731384459,2.0
344,454.9607189733713,454.78326978798424,27.72665676662369,127.7548584279894,126774.18878820988,2.0
343,453.95358082176904,453.7769336873277,27.505829752544972,128.64271486343077,127505.55312136753,2.0
342,452.9226395421704,452.74681556388816,27.286493001825455,129.54742073123614,128247.96988167262,2.0
341,451.89418968835923,451.71918871792184,27.05327088153209,130.3927896314458,128929.93581816246,2.0
340,450.8982052062609,450.7240025799434,26.846356916427805,131.37651591439163,129751.46113567254,2.0
339,449.8805917969132,449.7072069842222,26.610721887848072,132.22516350287614,130434.16632008698,2.0
338,448.86789584061535,448.6953265800373,26.401039681260443,133.21963890399715,131259.3140921943,2.0
337,447.8539980340679,447.68224714964094,26.183581702554587,134.18235970094528,132050.6984441077,2.0
336,446.8706731525507,446.69971726654063,25.960457524136842,135.12385865431244,132823.74018004644,2.0
335,445.8673985496691,445.69725580788463,25.759080441854866,136.19650344698618,133720.2683516233,2.0
334,444.86668147357574,444.697351584914,25.5263603514326,137.10805179776003,134456.73436442783,2.0
333,443.86476361084254,443.696249269271,25.32517479111444,138.2112004568362,135378.57472838706,2.0
332,442.8652882208053,442.69758921299984,25.110462090584345,139.24832217948065,136233.6569749794,2.0
331,441.89269564109475,441.7257912973212,24.89539632926236,140.29578193488246,137100.8035868717,2.0
330,440.89708516191047,440.73099637056424,24.69828817865265,141.46442450470505,138080.12151184242,2.0
329,439.91050426487976,439.7452252619016,24.46993983359828,142.46070031328904,138890.19228084988,2.0
328,438.92037787011185,438.7559132704842,24.274601568243202,143.67581218359086,139910.5054592263,2.0
327,437.9269573597501,437.7633117233436,24.063392274688905,144.80746727246188,140846.3135712664,2.0
326,436.94648593944163,436.78365005925485,23.854370983370853,145.96991330593661,141811.62115360316,2.0
325,435.95612918523483,435.79411310971096,23.660499513150544,147.24659368953255,142883.464478901,2.0
324,434.97409412016583,434.81289257315603,23.437745058008247,148.3535173635578,143789.28033034343,2.0
323,434.0140499153548,433.853645749698,23.244580591833575,149.68235239540243,144911.21954840494,2.0
322,433.0136168956777,432.8540463174518,23.038582022707992,150.93299873132878,145947.55895560668,2.0
321,432.0306943036353,431.87194404645754,22.833450675399398,152.21713510469087,147016.43181121908,2.0
320,431.0443951988514,430.8864698383474,22.64321621586107,153.62609391100048,148202.2050197181,2.0
319,430.07166143347683,429.91455108298743,22.42392634735021,154.85060881906207,149209.47234136806,2.0
318,429.0868587905412,428.93057539789487,22.234771251292347,156.3204918647535,150447.96176157828,2.0
317,428.1107311878386,427.9552690206999,22.03187895276908,157.71064748847357,151608.0455876377,2.0
316,427.13052266425245,426.9758868961548,21.828532522687322,159.12518159692013,152787.65157596776,2.0
315,426.13773038274934,425.98393358516626,21.64085637134011,160.6861529593407,154102.15718301435,2.0
314,425.15512573013,425.0021608256238,21.42620743965192,162.06452820475928,155240.08457363062,2.0
313,424.1777686975089,424.0256326760567,21.237351720278465,163.6792244354836,156601.9762640826,2.0
312,423.19624684453345,423.04494505059535,21.03903944863745,165.24560955150525,157913.25890264218,2.0
311,422.21302271271804,422.062558289212,20.83568705398033,166.80404957672815,159213.0776778465,2.0
310,421.2194901023515,421.06987372770055,20.649244978859027,168.53811227587124,160674.77982713887,2.0
309,420.23976804158656,420.09098930666147,20.439583737519953,170.10638741793568,161977.3530445554,2.0
308,419.255814144613,419.10787831796705,20.249063854659838,171.88156077213512,163472.31269560737,2.0
307,418.2660965866164,418.11901045355694,20.055225496779727,173.6625480836524,164967.60314866866,2.0
306,417.2836668029144,417.1374255525498,19.849961380752546,175.38015612625728,166400.1639527537,2.0
305,416.2949581509618,416.1495689101871,19.663618163750748,177.31574976386176,168034.11638397316,2.0
304,415.3018408671734,415.1573092743361,19.458889232708714,179.11902315941083,169537.49203586587,2.0
303,414.3180711880607,414.1743904198692,19.264787317814864,181.0727825784475,171180.94874293948,2.0
302,413.3203916293692,413.1775757655211,19.074982464231812,183.11433172451768,172899.91603335828,2.0
301,412.33652945271115,412.19456772282916,18.86608833718829,185.01239047358217,174481.80963451945,2.0
300,411.3378893876194,411.19679655028807,18.678851741941216,187.18965716864858,176319.19130699433,2.0
299,410.35291635115226,410.2126817043631,18.478104649629387,189.27433728730006,178067.43456945522,2.0
298,409.3538457408365,409.2144835428023,18.27889356799242,191.4356168851021,179879.79259417366,2.0
297,408.35692146587525,408.2184312788895,18.090564552730022,193.77458716659876,181854.40152558917,2.0
296,407.37025755417505,407.23263161354606,17.879476111813684,195.9178514553231,183642.5035296602,2.0
295,406.3782125435086,406.24145705068685,17.688155568209428,198.36013344951562,185704.4281342228,2.0
294,405.38228921563444,405.24640923939074,17.490726476450817,200.7940183306471,187752.0032911586,2.0
293,404.39239339795904,404.2573848137279,17.284154473854382,203.19045741369908,189760.42218717898,2.0
292,403.40718617826053,403.27304590189294,17.09223655021819,205.84592186137593,192006.0836391274,2.0
291,402.42043131350715,402.28716217109366,16.884138725578495,208.37165565034863,194124.4670925857,2.0
290,401.4343564861096,401.30195898594064,16.683672515367554,211.08479906039602,196411.63996041633,2.0
289,400.453225223505,400.32169596815635,16.487632470915294,213.94113585040853,198826.92962721444,2.0
288,399.47739682995126,399.3467320816762,16.271625756060185,216.61521465926248,201067.89572100577,2.0
287,398.50151832053626,398.3717189520947,16.07430255935584,219.65643148467979,203643.19312505404,2.0
286,397.5408099790505,397.4118628171957,15.866872008609475,222.64824444284082,206169.788686434,2.0
285,396.5812678773851,396.45317261238995,15.654703361880987,225.68028347512688,208727.2515191348,2.0
284,395.6358133838553,395.50855732745987,15.452686478428642,228.98310785259991,211531.8627232943,2.0
283,394.70415049212727,394.5777212553247,15.233518069094814,232.13479278300366,214193.50177356176,2.0
282,393.78644101133165,393.6608255264358,15.022733897577032,235.55823043808647,217102.61052080596,2.0
281,392.8924188107565,392.7675947031255,14.817015964127714,239.19660564728818,220208.87552161328,2.0
280,392.02576764778695,391.90170883278216,14.935991306756435,248.3673384163544,228402.95644719596,2.0
279,391.36508495761814,391.24160222540297,15.185032481912186,259.2321248543336,238196.54267848528,2.0
278,391.01200638158053,390.8888176581727,15.322257260156197,266.9669429097658,245194.81795426056,2.0
277,390.94782115876865,390.82466123477985,15.360546868111163,271.6199525809043,249448.2169617439,2.0
276,391.1772430267951,391.0538419292182,15.306191164195836,273.19281688816267,250965.09944421076,2.0
275,391.49495429904766,391.3712382794599,15.229548730155733,273.03845413196456,250923.51194723535,2.0
274,391.98212236927316,391.85793285428167,15.15168036449818,272.42053585986713,250508.96238734826,2.0
273,392.5033337173277,392.37864198059344,15.076778817970535,271.4561072515249,249785.55882963503,2.0
272,393.0829816402195,392.95773554795556,15.000979225053149,270.1137967015225,248731.28621184954,2.0
271,393.7330162725025,393.6071527035458,14.926511611397983,268.4256005375659,247378.30634300408,2.0
270,394.4466577725129,394.3201202891245,14.85093676790992,266.3716122870181,245704.97963486818,2.0
269,395.2219291654886,395.09466361713027,14.775210969955342,263.97272560426717,243728.63704045097,2.0
268,396.06198908745154,395.93393863807535,14.699492255144914,261.2494178028328,241467.71946919948,2.0
267,396.9578239842182,396.82894067611056,14.620281641472626,258.15809488700313,238877.644031709,2.0
266,397.9194911738402,397.7897179637921,14.542648350517279,254.79836609183735,236051.91047806822,2.0
265,398.9345633546525,398.80385520377484,14.459533221828467,251.0767163714262,232898.50721649043,2.0
264,400.00685248034335,399.8751612365442,14.375910019227286,247.08742731776476,229504.1321727548,2.0
263,401.13234109058567,400.9996226699459,14.290520407247019,242.83693015736745,225871.8545305198,2.0
262,402.3125573251419,402.17876651808496,14.196174984113672,238.2321294233328,221913.57387495768,2.0
261,403.546622350378,403.4117153138395,14.102094149094098,233.43546066631842,217778.27125284463,2.0
260,404.8273710853371,404.6913108678578,14.003086514924544,228.39610962989508,213414.85868988925,2.0
259,406.15899515935257,406.02174126348365,13.895341704296143,223.0777954327974,208788.56712454176,2.0
258,407.5365762602027,407.3980931632065,13.781664655476204,217.54474532346555,203956.15105103556,2.0
257,408.96031716501886,408.82056947166257,13.72667363165423,212.82619313302106,199882.39077849043,2.0
256,410.3910405278749,410.2500275957419,13.762040640051046,209.49343368050233,197098.58835239182,2.0
255,411.7894781160292,411.6472331405851,13.798667054982962,206.3108125440069,194437.57710177955,2.0
254,413.1521509914036,413.0087099314706,13.832954637697181,203.22307376437846,191847.46087588754,2.0
253,414.482647931633,414.33804317286956,13.864976287772832,200.2255038078452,189325.44372734125,2.0
252,415.78069042141124,415.63495430459795,13.894837987056825,197.31457871216924,186868.87482264117,2.0
251,417.0472795225046,416.90044320779265,13.922645262912786,194.4866537063481,184475.23914824545,2.0
250,418.28212174149286,418.1342163843701,13.948514426039266,191.73857558243776,182142.14892182237,2.0
249,419.490121089453,419.34117321848464,13.97245451311936,189.0661568598244,179867.33564721196,2.0
248,420.66902424521794,420.51906217876376,13.994617567680427,186.46704998328647,177648.64275732965,2.0
247,421.8210852626842,421.6701350993609,14.015044102591755,183.93801391097193,175484.01879496608,2.0
246,422.9469344128164,422.7950214988636,14.033829593747457,181.47632723779952,173371.51108613462,2.0
245,424.0446627546971,423.8918139257008,14.051088080713,179.0799501967287,171309.25986494301,2.0
244,425.1191604174445,424.9653980234488,14.066813203793991,176.7454867813501,169295.4928128651,2.0
243,426.1704809176821,426.0158271052327,14.08107509776054,174.4707272773879,167328.51997863443,2.0
242,427.19695445782855,427.0414326809781,14.09399443602601,172.25392183891847,165406.72904828333,2.0
241,428.20157449650304,428.0452054446621,14.105574486187392,170.0924447562804,163528.58093737785,2.0
240,429.18232171273473,429.0251276948281,14.115929816468775,167.98480577788692,161692.60568018546,2.0
239,430.14380661592213,429.9858058071746,14.12504487213088,165.9282592393866,159897.39859269842,2.0
238,431.0828360867728,430.92404930597337,14.133018902121156,163.9217210729305,158141.616688435,2.0
237,432.0038484072882,431.84429252490656,14.139845263382936,161.96267108797352,156423.97532785241,2.0
236,432.904534574751,432.7442283510186,14.145643146700461,160.04999596596235,154743.24508370206,2.0
235,433.7861046101916,433.62506565450985,14.15041157786204,158.18196221902753,153098.24880639868,2.0
234,434.6485825161883,434.4868283202809,14.154214926553642,156.35713298757574,151487.85887454383,2.0
233,435.4949395825045,435.3324850061746,14.157054393038086,154.57358922307526,149910.99461719225,2.0
232,436.3232338258045,436.1600953044823,14.159007272806294,152.8303894130682,148366.61989544786,2.0
231,437.1338839584403,436.9700774852132,14.160111774356407,151.12620404779432,146853.7408320143,2.0
230,437.92925289680784,437.7647923791321,14.160375694775583,149.459413250701,145371.40367826595,2.0
229,438.71038009553916,438.54527849241185,14.159819907865717,147.82869762245943,143918.6928092041,2.0
228,439.47552836243807,439.3098000359312,14.158492616286917,146.23327305462888,142494.72883741307,2.0
227,440.22360485403505,440.0572650260434,14.156505357358943,144.672273953532,141098.66683793784,2.0
226,440.9584756972674,440.7915362581594,14.153788380405063,143.14402732226387,139729.6946764584,2.0
225,441.6801882751283,441.5126610231948,14.150379694800948,141.64756893060377,138387.03143386112,2.0
224,442.38215585489394,442.21405809125264,14.146666262997398,140.1830703505898,137069.92592078063,2.0
223,443.08453202036617,442.9158640029439,14.141612709313101,138.74630994142493,135777.65527616258,2.0
222,443.7668402010699,443.5976194040177,14.13634038163683,137.3398275212344,134509.52364438027,2.0
221,444.435436267092,444.265674750632,14.130513509579147,135.9617480369104,133264.86092574822,2.0
220,445.09474366391265,444.92444975355625,14.134359640895553,134.70857109547896,132139.1453032138,2.0
219,445.7385806973396,445.567767741017,14.150254041967475,133.60544499154173,131156.4358866892,2.0
218,446.364173002026,446.1928564932299,14.195780885198712,132.82033961547663,130481.71385062458,2.0
217,446.9721047676075,446.80029941029466,14.230912637267263,131.99178651111484,129760.4498956375,2.0
216,447.55965468719364,447.38737746755976,14.260176616562443,131.1563594966794,129028.17133477722,2.0
215,448.1307555481681,447.95802019009943,14.287701705880115,130.34810261617972,128319.02934760053,2.0
214,448.6846142918342,448.5114351333065,14.319090467007054,129.61647845158046,127681.72934987278,2.0
213,449.22433801516047,449.0507267584551,14.353550240687639,128.9545069261101,127110.0448311758,2.0
212,449.74639857342737,449.57236975629615,14.375787664698343,128.22656569391472,126469.8510071903,2.0
211,450.2545293295763,450.08009447377987,14.396505781410601,127.52137701746878,125849.18153812834,2.0
210,450.7509073020341,450.5760761134593,14.417524194834149,126.85388914288258,125263.19034163746,2.0
209,451.2328344737905,451.0576188433285,14.448986532062131,126.31188937243553,124798.31139384246,2.0
208,451.69984758812666,451.52425965609825,14.464985482996788,125.67492175948584,124236.78086581301,2.0
207,452.1578247082013,451.98187189919395,14.479609245460237,125.0568426868307,123691.94014489537,2.0
206,452.60451756706357,452.4282091232156,14.493300647525478,124.46107367593036,123166.90125369732,2.0
205,453.0375854943818,452.8609325643454,14.519900344510633,124.00381859828299,122776.44072523392,2.0
204,453.4595165079664,453.2825280606738,14.53032799916709,123.4446504574504,122282.97909209048,2.0
203,453.87341077775005,453.69609335969875,14.53948350811556,122.90175433407812,121803.95807264463,2.0
202,454.2782031928744,454.10056421577593,14.548313260236498,122.38172856549359,121345.80803452214,2.0
201,454.6738949372658,454.49594179079264,14.568537500648542,121.98251608396902,121005.73628439593,2.0
